投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,典型问题2,典型问题3,投诉时间,投诉状态,文本
501950,一汽丰田,亚洲龙,2019款 双擎 2.5L 豪华版 国Ⅵ,"别克英朗经销商未告知定损项目与配件
纳智捷优6 SUV发动机无法提速要求处理
猎豹Mattu挂入倒挡后提示变速箱故障
东风雪铁龙天逸C5 AIRCROSS门边漆面起泡
东风日产蓝鸟4S店加装中控屏多次故障
长城C30发动机故障灯报警希望处理
上汽大众途观L天窗漏水 气囊电脑板故障
吉利帝豪车身多处生锈4S店不给解决
一汽丰田卡罗拉车门焊接处出现开裂的现象
宝骏530行驶中ESC和ABS故障灯亮
东风日产楼兰前风挡生产日期与车门玻璃不符
广汽丰田雷凌发动机涡轮增压管渗油
东南DX3发动机盖生锈 行驶时全车断电
上汽通用五菱宏光变速箱异响顿挫车身共振
猎豹CS9车联网无法登录影响使用
北京现代ix25发动机无法启动 查不出原因
一汽马自达阿特兹车身B柱和中控台异响
东风雪铁龙爱丽舍大灯开关故障希望厂家处理
广汽丰田凯美瑞仪表台老化反光希望处理
一汽马自达阿特兹ABC柱 天窗异响严重
林肯MKZ车辆前后晃动要求厂家解决
长安标致雪铁龙DS6天窗无法关闭
东风日产逍客车身漆面脱落而且生锈
东风标致408减震器漏油有异响转向异响
上汽大众凌渡自购车起车内一直存在异味
长安逸动换挡转速过高排气管没有隔热瓦
哈弗F7刹车异响影音系统无法播放视频
一汽丰田亚洲龙发动机故障灯亮厂家无配件",发动机,故障灯亮,配件争议,2020-07-28,处理反馈,发动机
501895,一汽马自达,马自达CX-4,2020款 2.0L 自动 两驱 蓝天品位版,"哈弗H2电瓶亏电自动驻车故障报警厂家未回复
中华V6中控屏死机4S店订购配件未到货
北汽威旺M50F颠簸时方向管柱异响
吉利博越实车多项配置与厂家宣传不符
一汽大众奥迪A6L空调异味4S店无法解决
华晨宝马5系车载互联无法使用4S店未解决
上汽大众途观L变速箱换挡顿挫异响要求解决
捷豹XEL经销商销售承诺不兑现无法提车
东风本田艾力绅高速行驶中发动机多次失速
宝骏730电瓶亏电车辆无法启动 配件质量差
北京现代途胜方向盘不正 沉重维修未解决
东风日产天籁发动机怠速共振要求解决
东风日产逍客4S店服务态度差 质保维修收费
众泰T700车辆配件质量差且无法更换
广汽丰田凯美瑞方向盘脱皮一直未解决
别克英朗空调不制冷整车质量太差
上汽MAXUS G50售后私自将车辆维修外包
一汽丰田卡罗拉打方向异响4S店不予解决
广汽丰田雷凌发动机舱内异响要求解决
华晨宝马X3空调蒸发箱泄漏制冷剂
东风雪铁龙C4世嘉方向盘松动影响驾驶安全
一汽大众CC经销商收取服务费 空调自动开启
长安神骐F30行驶中发动机故障灯亮
雪佛兰迈锐宝前照灯灯罩出现脱皮的现象
长安福特锐际车灯太暗 影响行车安全
东风标致408发动机烧机油导致发动机异响
斯柯达明锐行驶时发动机爆震要求厂家处理
一汽马自达CX-4 4S店销售维修过的问题车",,销售欺诈,,2020-07-27,信息审核,车身附件及电器
501827,一汽-大众,高尔夫,2016款 1.6L  自动 舒适型,"广汽本田飞度冷车启动时发动机有异响
吉利远景变速箱动力消失踩油门无法行驶
一汽马自达阿特兹行驶过程中AB柱有异响
吉利远景X6挂倒挡时无法行驶希望处理
吉利远景空调无法制冷存在质量缺陷
长安CS55车身有色差后尾门螺丝有拧动痕迹
东风本田思域左右前大灯进水希望尽快解决
奇瑞瑞虎8喷油嘴漏油 冷车怠速抖动
长安逸动漆面偏软 排气管无隔热瓦
宝沃BX7发动机烧机油 四驱系统异响
一汽大众CC行驶中熄火 收取服务费
东风雪铁龙C4L方向盘晃动 转向柱损坏
一汽马自达阿特兹行驶中ABC柱异响天窗异响
斯巴鲁森林人方向盘回正时鸣笛喇叭不响
华晨雷诺金杯快运车灯起雾 副驾驶门打不开
东南DX3离合器异响维修后未解决
斯柯达速派变速箱跳挡希望厂家处理问题
一汽吉林森雅R9仪表盘黑屏存在故障
上汽荣威RX5怠速时异响维修未解决问题
上汽大众帕萨特行驶过程中变速箱顿挫
东风本田思域前轮优科豪马轮胎掉皮
哈弗H7发动机异响变速箱顿挫希望厂家处理
进口英菲尼迪QX60变速箱异响4S店不处理	
一汽大众奥迪A3底盘异响变速箱升挡抖动
东风本田INSPIRE转向卡滞希望厂家处理
哈弗F7车机系统无法正常使用希望厂家处理
东风标致408发动机烧机油减震器异响
一汽大众高尔夫变速箱换挡机构故障",变速器,滑阀箱故障,机械部件故障,2020-07-27,处理反馈,变速器
501729,上汽通用别克,君威,2015款 2.0L 领先时尚型,"福田欧马可变速箱内二轴断裂希望处理
吉利博越实车变速箱没有挡位灯指示
东风日产逍客主动刹车系统故障查不出问题
雪佛兰迈锐宝XL启动时存在口哨声
东风雪铁龙天逸C5AIRCROSS车门生锈
东风标致3008发动机烧机油希望处理
江铃凯运变速箱无法加速 吃胎偏磨
东风雪铁龙天逸C5 AIR CORSS发动机报警
东风风光580发动机故障灯亮启动困难
江淮瑞风S7导航定位不准 液晶仪表黑屏
长安福特翼虎碳罐堵塞导致油表显示不准
众泰E200车辆充电时自燃导致报废
东风风神AX7车身晃动 发动机漏油
东风本田CR-V发动机机油增多存在质量问题
一汽马自达阿特兹A柱及B柱异响 天窗异响
北京现代领动发动机报警希望尽快处理
北汽新能源EC车身生锈要求厂家尽快解决
上汽大众途观L变速箱提示紧急模式
吉利博越实车配置与宣传不符存在欺诈行为
东风标致408发动机烧机油 固特异轮胎鼓包
东风标致308前悬挂故障导致转向异响
上汽名爵锐腾行驶中失去动力希望厂家处理
广汽丰田凯美瑞左右半轴球笼胶套渗油
一汽红旗H7发电机故障导致无法使用
雪佛兰迈锐宝挂入P挡后显示未挂入
起亚K4变速箱异响 中控台异响 刹车异响
猎豹CS9下支臂异响 空调不制冷
别克君威车内异味严重导致身体不适",车身附件及电器,车内异味,,2020-07-27,处理反馈,销售欺诈
501655,江铃汽车,驭胜S330,2016款 1.5L GTDi  自动 两驱 旗舰版,"一汽大众奥迪Q5气门室盖严重渗油
吉利星越车道保持功能与宣传不符 车机卡顿
比亚迪唐新能源云服务经常失灵手机开锁无效
斯柯达明锐后轮刹车盘异响 车内异味
东风标致408发动机故障灯亮4S店无法解决
一汽大众高尔夫转向异响希望得到处理
斯柯达Yeti车内异味严重影响身体健康
WEY VV6发动机严重烧机油希望尽快处理
吉利帝豪行驶中制动主控模块故障出现急停
吉利帝豪车机GKUI系统厂家单方面关闭
奇瑞艾瑞泽5方向盘掉皮大灯有裂纹厂家拒赔
捷途X90销售承诺保养不兑现厂家不处理
一汽大众高尔夫经销商拖延故障要求处理
东风日产天籁前减震器异响一直未解决
比亚迪e2中控显示屏死机影响功能使用
众泰大迈X7减震器异响 点火开关故障
一汽丰田RAV4荣放喷漆质量差厂家不处理
一汽马自达阿特兹车身B柱异响厂家未解决
广汽本田冠道变速箱电脑损坏挂挡时异响
进口奔驰AMG GT转向卡滞发动机故障灯亮
比亚迪F0车身底盘严重锈蚀希望处理
上汽大众帕萨特发动机和变速箱渗油
别克昂科拉正时链条故障要求厂家给予解决
长安福特翼搏变速箱内部卡滞存在质量问题
东风标致207后桥异响摆臂变形影响安全
东风日产轩逸发动机机油出现颗粒状物体
东风日产奇骏发动机异响 后备箱异响
驭胜S330车身生锈希望厂家给予保修",车身附件及电器,车身生锈,,2020-07-27,用户评分,车身附件及电器
501599,北京越野,北京BJ40,2018款 2.0T 手动 四驱 尊贵型 柴油,"北京现代朗动导航黑屏卡顿4S店不予保修
一汽马自达阿特兹中控 B柱异响 扶手脱落
新宝骏RM-5变速箱挂挡顿挫严重 车机死机
上汽大众桑塔纳左后轮毂发热有烧焦味
凯迪拉克XT5疑似保养不当造成空调异味
广汽传祺GS4冷车启动困难希望厂家处理
东风日产楼兰变速箱升挡缓慢无法提速
江淮瑞风M3缸盖开裂 气门漏气 变速箱异响
东风标致3008发动机故障灯亮车身抖动
一汽马自达阿特兹AB柱异响影响驾驶
广汽丰田凯美瑞刹车异响存在安全隐患
一汽大众速腾底盘 悬挂及变速箱部件生锈
雪佛兰创酷新车发动机故障无故熄火
东风日产楼兰导航没有区间测速希望处理
长安福特锐界车门内侧掉漆要求解决
捷途X90电瓶泄漏电解液存在质量问题
上汽荣威RX8经销商无法提供零配件
一汽马自达阿特兹车身多处异响严重
东风本田CR-V发动机熄火希望厂家处理
别克英朗发动机冷却液渗漏希望厂家处理
奇瑞新能源瑞虎3xe备用钥匙无法启动
一汽大众速腾变速箱和高压油泵异响
一汽大众迈腾变速箱顿挫厂家不予保修
捷途X70车身锈蚀严重影响车辆美观
福田祥菱M刹车油管爆裂导致刹车失灵
广汽本田凌派前保险杠喷漆后掉皮严重
一汽马自达CX-4车身异响颠簸路中控台异响
北京BJ40坡道起步时动力消失希望厂家处理",发动机,动力消失,,2020-07-27,处理反馈,车身附件及电器
501537,上汽斯柯达,柯珞克,2018款 TSI280 豪华版 国V,"别克君威两条后轮磨损严重影响安全
一汽大众奥迪A3发动机故障灯亮售后不予质保
广汽本田雅阁发动机渗油希望厂家处理
凯迪拉克XT5发动机故障灯亮要求厂家解决
东风日产天籁仪表台自然开裂希望处理
一汽马自达CX-4车身异响维修未解决问题
一汽丰田卡罗拉车载互联APP无法绑定
别克君越变速箱顿挫空调异味4S店无法解决
捷途X70行驶中发动机容易熄火存在质量问题
雪佛兰科沃兹发动机故障灯亮发动机抖动
一汽马自达CX-4车身AB柱中控台以及后排异响
上汽大众途岳经销商加装影像无法使用
广汽本田皓影4S店销售承诺不兑现
广汽三菱欧蓝德冷车启动时发动机启动困难
长安欧尚A600漆面起泡 车身生锈希望处理
奇瑞瑞虎5变速箱电脑进水4S店不给保修
东风日产劲客优科豪马轮胎鼓包起皮
开瑞K50车内存在化学异味一直无法去除
众泰T300发动机抖动更换火花塞未解决
一汽马自达CX-4行驶中ABC柱异响
一汽马自达CX-4车身ABC柱和中控台异响
广汽本田凌派车门生锈严重4S店不予保修
吉利博越水箱反复出现异常高温问题
北京现代昂希诺发动机启动困难机油增多
北京现代ix35行驶中变速箱拖挡共振
进口宝马1系燃油泵故障导致动力消失
东风日产骐达TIIDA后备箱生锈4S店不保修
斯柯达柯珞克低速加油时发动机异响",发动机,异响,,2020-07-27,处理反馈,发动机
501465,广汽菲克Jeep,自由光,2019款 2.0T 四驱 高性能旗舰版 国V,"知豆D2车内漏水希望厂家质保处理问题
长安福特蒙迪欧急加速无力转向助力消失
长安福特翼虎碳罐故障导致油箱异响
奇瑞艾瑞泽5安全气囊故障灯亮存在质量问题
福特全顺变速箱异响发动机怠速熄火
进口沃尔沃V90怠速发动机噪音大要求解决
广汽丰田凯美瑞半轴防尘套渗油要求解决
凯迪拉克ATS-L中控触摸屏失灵影响使用
吉利博越发动机VVT进气组件异响
广汽传祺GS5导航版本无法升级要求解决
东风标致308刹车故障厂家否认质量问题
别克凯越仪表台开胶严重影响驾驶安全
长安马自达昂克赛拉经销商维修技术差
长安福特翼虎发动机漏冷却液希望厂家处理
比亚迪宋车身漏水导致生锈 车窗异响
一汽大众奥迪A6L发动机抖动熄火
一汽马自达CX-4行驶时中控台异响
上汽大众朗逸颠簸路面行驶左前方异响
东风标致408发动机冷车启动异响严重
海马S5青春版车身主体车架生锈存在质量问题
广汽菲克Jeep指南者尾灯进水 发动机异响
华晨宝马5系水泵故障导致泄漏防冻液
海马福美来MPV发动机无法加速要求解决
上汽大众途观L变速箱顿挫厂家不予保修
奇瑞艾瑞泽5e电机控制器损坏一直没有配件
吉利帝豪车机互联无故关闭要求厂家解决
广汽丰田凯美瑞发动机舱进入泥沙
Jeep自由光分动箱漏油要求厂家给予解决",前后桥及悬挂系统,差速器漏油,部件开裂,2020-07-27,厂家受理,发动机
501411,广汽本田,雅阁,2016款 2.0L CVT  舒适版,"广汽传祺GS4空调压缩机工作异响要求解决
奇瑞瑞虎8变速箱维修疑似使用旧件
东风标致308空调不制冷存在质量问题
北京现代胜达座椅生锈要求尽快解决
WEY VV5天窗遮阳板异响影响正常驾驶
一汽马自达CX-4经销商强制购买商业保险
长安欧尚长行漆面炸裂疑似问题车
众泰SR9转向抖动 车漆脱落 倒车影像不显示
猎豹CS9发动机冷却系统故障水温高
进口宝马7系隔音棉异味使人无法忍受
一汽马自达阿特兹方向机车身异响希望处理
华晨宝马3系防冻液回水管爆裂要求厂家解决
别克昂科威车顶漏水存在质量问题要求解决
一汽马自达阿特兹A柱B柱及中控异响
奇瑞eQ1车顶两侧白色边条大量起泡
捷达VS7右前轮外球笼套存在漏油现象
奇瑞瑞虎3xe充满电后空调不制冷
奇瑞瑞虎7主驾驶车窗升降器频繁故障
宝骏560变速箱跳挡厂家一直未联系
WEY VV6车漆自动脱落希望尽快解决
广汽传祺GS4底盘异响严重希望尽快解决
长安跨越王X3左后新迪轮胎鼓包严重
广汽本田缤智发动机动力减弱 自动刹车失效
奇瑞瑞虎8发动机故障灯亮抖动明显
别克凯越仪表台脱胶开裂影响正常行车安全
上汽荣威350正时链条拉长导致故障灯亮
奇瑞艾瑞泽GX车顶异响车身A柱异响
广汽本田雅阁右前日行灯不亮要求更换",车身附件及电器,车灯不亮,,2020-07-26,处理反馈,人员技术
501356,东风标致,标致4008,2017款 350THP 精英版,"长安逸动XT发动机渗油要求免费维修
宝骏730行驶中离合器打滑 无法换挡
华晨宝马X1油箱盖漏水导致倒车雷达模块烧毁
北京奔驰C级打方向异响转向机故障
一汽马自达阿特兹中控台异响 B柱异响
奇瑞艾瑞泽GX发动机怠速抖动故障灯亮
哈弗H6 Coupe刹车片异响维修人员操作不规范
吉利EC8仪表盘里程表蓝屏无法显示
吉利帝豪车门引擎盖后备箱多处生锈无法解决
东风雪铁龙C4世嘉方向盘间歇性变重
别克英朗变速箱顿挫希望厂家处理问题
一汽丰田卡罗拉点火线圈故障希望厂家处理
长安CS55点火线圈故障导致发动机抖动
雪佛兰科鲁兹左前门内侧严重鼓包生锈
北京奔驰GLC车灯不亮希望厂家处理问题
一汽大众奥迪A6L中控黑屏存在质量问题
长安CS75发动机漏油与4S店协商未果
上汽大众朗逸变速箱异响 韩泰轮胎开裂
雪佛兰科沃兹刹车时后轮异响希望处理
一汽大众奥迪A6L方向机异响希望处理
哈弗H2车门后备箱打不开希望得到处理
一汽马自达睿翼车内异响希望得到处理
东风日产轩逸发动机渗油影响正常使用
上汽通用五菱之光发动机水温高存在质量问题
长安悦翔V3车底盘和门下角起泡生锈
奇瑞捷豹路虎发现神行变速箱漏油多次返修
SWM斯威X3缸体破损希望尽快处理
东风标致4008方向盘异响一直不予处理",转向系统,异响,,2020-07-26,用户评分,离合器
501293,东南汽车,东南DX3,2018款 1.5L 手动 豪华型,"凯迪拉克ATS-L P挡失灵 发动机抖动
上汽大众朗逸变速箱异响希望尽快解决
北京现代领动更换方向盘后出现异响
吉利星越无事故碰撞出现漆面开裂
广汽丰田凯美瑞方向盘脱皮4S店不予保修
捷途X70发动机抖动严重 多缸缺火
北京现代领动中控显示屏黑屏无法使用
一汽丰田RAV4荣放机油增多超过上限
知豆D2启动电机损坏车辆无法启动
斯柯达速派变速箱机电单元出现故障
一汽大众捷达VS7车灯进水希望尽快处理
海马福美来F5空调漏水导致电脑主板故障
奇瑞捷豹路虎揽胜极光底盘异响 启停故障
北京现代ix35前轮严重异响要求解决
上汽大众途观天窗漏水无法正常关闭
上汽大众凌渡发动机熄火后无法启动
江淮瑞风S3车内异味严重无法去除
一汽马自达阿特兹车身异响严重无法解决
奇瑞瑞虎5x轻踩刹车时一直有刺耳异响
上汽大众朗逸新车出现2次制动失效
吉利帝豪GKUI无法使用厂家单方面关闭
哈弗H6变速箱异响 三元催化器异响
江铃福特领界电池亏电导致车辆无法启动
奇瑞艾瑞泽5动力丢失 变速箱故障灯亮
东风悦达起亚KX3电子手刹故障 漆面变色
长安福特福克斯变速箱异响顿挫 刹车异响
广汽传祺GA3S视界更换压缩机后加速异响
东南DX3行驶中底盘异响 方向盘异响",转向系统,异响,底盘异响,2020-07-26,用户评分,变速器
501224,广汽本田,雅阁,2016款 2.0L CVT  舒适版,"一汽马自达阿特兹B柱C柱异响中控异响
东风标致308方向盘异响行驶时抖动幅度大
一汽马自达阿特兹车身异响厂家不给回复
哈弗H2异响明显 4S店不解决问题
东风标致408 ABS泵故障存在质量问题
一汽丰田卡罗拉发动机冷却液泄漏
一汽马自达CX-4车身异响要求厂家尽快解决
一汽马自达阿特兹座椅金属条断裂 车身异响
雪佛兰科沃兹冷车启动开空调压缩机有异响
一汽马自达CX-4 AB柱仪表台及后备箱异响
哈弗F7刹车异响车载媒体反应慢或无反应
广汽本田雅阁经销商修改里程表销售问题车
北京现代索纳塔九发动机故障灯亮 中控黑屏
东风日产轩逸4S店销售人员强制搭售
东风风光580涡轮故障4S店维修后发动机损坏
一汽大众迈腾4S店操作不当导致发动机异响
北京现代索纳塔九导航黑屏死机要求更换
一汽马自达阿特兹顶棚异响 天窗异响
别克昂科拉车内异味严重无法解决
一汽大众探岳大灯雾化亮度低影响驾驶安全
上汽大众朗逸主驾驶座椅靠背开裂
一汽大众高尔夫变速箱故障要求免费维修
一汽大众速腾加速后变速箱异响严重
北京奔驰GLB行驶中后排右侧异响
广汽新能源AionS转向灯故障希望尽快处理
一汽大众迈腾怠速时驾驶室异响明显
吉利远景行驶中变速箱脱挡要求免费维修
广汽本田雅阁轮毂出现氧化希望尽快处理",车身附件及电器,轮毂问题,,2020-07-26,处理反馈,转向系统
501164,上汽通用别克,君越,2018款 20T 双离合 精英型,"一汽大众奥迪A6L发动机抖动熄火摄像头故障
一汽马自达CX-4行驶过程中B柱有异响
奇瑞瑞虎7起步时刹车异响 车身抖动
众泰大迈X7行车电脑和变速箱模块故障
广汽传祺GS4变速箱挂挡异响无法解决
众泰T700行驶中变速箱故障 挡位失灵
吉利嘉际备胎磨损 车机卡顿 变速箱跳挡
江铃新能源E160无法充电厂家不处理
猎豹CS10钥匙失灵点烟器失灵 厂家无零配件
广汽本田雅阁方向盘掉皮希望免费更换
一汽马自达阿特兹车身异响多次维修未解决
东风雪铁龙C4L风扇电阻故障要求免费更换
广汽丰田雷凌原地打方向异响明显
江铃驭胜S330油耗高 carlife无法使用
斯柯达速派发动机共振抖动 刹车异响
别克威朗中控屏幕闪屏亮度降低质量差
东风标致408正时皮带掉毛 发动机烧机油
凯迪拉克ATS-L中控屏幕触控失灵无法使用
林肯MKZ车身A柱严重漏水存在质量问题
别克君威发动机异响要求厂家解决
众泰大迈X7底盘和车身有大面积生锈现象
斯柯达明锐仪表盘进灰存在质量问题
华晨宝马X3 4S店贴膜时未做防水损坏氛围灯
北京现代菲斯塔大灯损坏4S店使用旧件
吉利帝豪变速箱无法加速 发动机噪音大
广汽本田雅阁避震下沉更换后行驶左倾严重
启辰T70主驾驶车门把手开裂质量差
别克君越电瓶经常亏电要求解决",车身附件及电器,电瓶故障,,2020-07-26,处理反馈,车身附件及电器
501090,吉利汽车,博越,2016款 1.8TD 自动 两驱 智尊型,"吉利帝豪GL变速箱异响抖动存在质量问题
别克威朗防冻液水箱内有机油要求解决
一汽大众奥迪Q5发动机节温器漏水
吉利嘉际经销商不返还旅游基金要求解决
吉利博越变速箱脱挡 转向异响严重
奇瑞瑞虎5x朝阳轮胎鼓包存在质量问题
一汽马自达阿特兹车身B柱异响影响驾驶
一汽大众宝来车灯进水存在质量问题
一汽马自达阿特兹新车车身B柱异响
广汽本田飞度冷车启动发动机出现异响
东风悦达起亚KX5高速行驶车身抖动座椅异响
吉利远景车内积水严重要求尽快解决
北京现代领动手环匹配问题4S店不予解决
东风日产骐达变速器阀体磨损故障码P0846
一汽丰田卡罗拉新车天窗漏水要求解决
华晨中华V7电瓶亏电 变速箱跳挡 门窗漏风
一汽大众探岳变速箱异响 燃油泵异响
长城C30变速箱挂挡困难 车身生锈腐蚀
广汽本田锋范转向助力沉重要求厂家召回
凯迪拉克XTS中控触摸屏失灵及死机无法使用
一汽马自达CX-4车身B柱异响影响驾驶
进口奔驰B级变速箱电脑板故障要求解决
一汽大众迈腾变速箱机电控制单元故障
吉利嘉际新能源车机导航不准确语音系统失灵
比亚迪秦新能源发动机噪音大 变速箱异响
一汽马自达CX-4车身 天窗 方向盘异响
吉利远景变速箱无法换挡希望尽快处理
吉利博越线束故障 4S店及厂家不解决问题",车身附件及电器,电路故障,服务态度,2020-07-25,用户评分,发动机
501033,上汽通用雪佛兰,科鲁兹,2015款 1.5L 自动 时尚版,"广汽丰田威兰达发动机支架和备胎轮毂生锈
广汽丰田雷凌发动机故障灯亮动力降低
一汽大众奥迪A4L刹车时卡钳发出异响
林肯MKZ车窗升降及减震器过颠簸路异响
东风标致308方向盘上下晃动间隙大
别克凯越中控锁自动开关要求厂家尽快解决
别克威朗中控屏闪烁存在质量问题
雪佛兰创酷发动机故障灯亮节温器故障
东风日产骐达悬架生锈腐蚀厂家未回复
北京奔驰C级变速箱抖动闯车存在质量问题
广汽传祺GA8智慧传祺互联功能无法使用
长安福特翼虎刹车异响 水泵漏水质量差
一汽马自达阿特兹天窗AB柱严重异响
别克君威发动机怠速异响存在质量问题
一汽马自达阿特兹车身A柱B柱异响
东风雪铁龙世嘉油箱碳罐无灰滤要求解决
东风标致408汽油箱止逆阀损坏无法索赔
吉利远景X6发动机和变速箱起步异响
长安福特福睿斯车内异味无法解决
上汽通用五菱宏光变速箱异响要求免费维修
一汽马自达阿特兹AB柱异响维修后无法解决
东风日产天籁低速行驶时车身共振噪音大
一汽大众探歌行驶1万公里韩泰轮胎裂纹
比亚迪宋变速器功能受限维修后无法解决
一汽大众捷达VS5雨刮器抖动异响
北京现代途胜车窗生锈希望尽快处理
一汽马自达阿特兹车身异响维修后无法解决
雪佛兰科鲁兹维修技术不合格导致车辆进水",,人员技术,人员技术,2020-07-25,用户评分,发动机
500977,北京现代,现代ix35,ix35,"一汽大众速腾前挡风玻璃无故开裂
一汽马自达CX-4车内异响 ABC柱异响
宝骏560车门异响 车身异响希望尽快处理
雪佛兰创酷缺缸抖动 发动机漏油
广汽丰田汉兰达扶手箱损坏无法关闭
长安铃木雨燕减震器异响 内饰异响
一起解放JP6无法换挡 空调失灵 仪表盘损坏
广汽传祺GS4刹车异响越来越严重
东风天锦前挡风玻璃开裂厂家拒绝索赔
众泰Z700发动机异响车轮异响 厂家无人处理
一汽大众迈腾变速箱机电单元故障
华晨宝马5系前排车门木纹内饰板有裂纹
东风日产奇骏变速箱低速抖动异响
上汽名爵ZS行驶中熄火 发动机高温
上汽大众凌渡车内异味严重希望处理
一汽大众探岳大灯不亮严重影响行车安全
东风雷诺科雷缤单方面关停EASY-LINK平台
东风雪铁龙天逸C5 AIR CORSS保险杠有色差
斯柯达速派刹车异响 车内异味严重
比亚迪秦新能源车顶漏水要求提供质保
东风标致408加满油后发动机故障抖动严重
奇瑞艾瑞泽7左右后车门生锈希望尽快处理
WEY VV7发动机烧机油维修未解决
东风本田XR-V车辆严重跑偏无法解决
宝骏730水箱漏水希望尽快处理
海马8S行驶中车身抖动 变速箱漏油
北京现代胜达后轮吃胎 中控电视功能无法使用
北京现代ix35方向盘卡滞车身出现甩尾",转向系统,卡滞,,2020-07-25,处理反馈,车身附件及电器
500913,长安福特,金牛座,2017款 EcoBoost 245 豪华型,"广汽本田飞度冷车启动VTC异响严重
一汽大众速腾方向盘表面磨损变色
宝骏730气囊故障 离合器分离轴承漏油
东风雷诺科雷缤车联网服务由免费改为收费
广汽本田冠道跑偏 空调异响 发动机噪音大
东风雷诺科雷缤承诺免流量10年不兑现
长安福特福睿斯主驾驶位车窗升降失灵
长安欧尚X7经销商疑似盗用客户信息
一汽马自达阿特兹A柱B柱异响 中控台异响
吉利远景变速器失效 挡位失灵无法行驶
一汽大众迈腾变速箱机电单元损坏
东风本田艾力绅发动机漏油4S店不处理
哈弗H9涡轮增压器开裂漏气 厂家拒绝索赔
吉利缤越车机系统及氛围灯与宣传不符
别克英朗4S店销售维修过的问题车希望解决
上汽大众途观松开刹车时出现异响
北京现代瑞纳半轴及稳定杆生锈严重
金杯T20S车辆多处减配存在设计缺陷
大众高尔夫空调水管漏水安全气囊电脑进水
广汽本田雅阁变速箱和发动机出现漏油现象
凯迪拉克ATS-L中控触控屏失灵无法使用
广汽丰田凯美瑞车身漆面过薄要求处理
长城风骏5发动机异响缸体损坏厂家不保修
上汽大众途观车辆延保承诺不予兑现
长安福特福睿斯倒车刹车时出现异响
吉利博瑞天窗无法打开希望厂家处理
众泰E200动力电池故障行驶时失去动力
长安福特金牛座行驶中发动机故障灯闪烁",发动机,故障灯亮,,2020-07-25,用户评分,车身附件及电器
500848,一汽马自达,阿特兹,2020款 2.5L 蓝天尊崇版,"东风日产奇骏行驶过程中变速箱有口哨声
上汽大众凌渡4S店更换大灯总成车灯内无灯泡
一汽马自达阿特兹行驶时A柱和中控台异响
长安福特福睿斯主驾驶侧车窗升降器失灵
东风风行景逸X5车灯无法关闭要求处理
吉利星越车机卡顿 自动退出 反应迟钝
别克昂科威行驶时左前轮刹车油管爆裂
长安CS75 PLUS车身漆面有开裂的现象
东风日产轩逸变速箱漏油要求尽快处理
别克君威后备箱渗水希望厂家尽快处理
奇瑞瑞虎7减震器异响多次更换未解决
一汽大众探岳雨刮器出现异响一直没有解决
比亚迪唐车门内饰板开裂要求厂家处理
众泰Z300安全气囊故障灯亮一直未解决
上汽名爵6变速箱类型与标签上描述不符
广汽丰田雷凌打方向盘时出现异响
东风标致408空调压缩机损坏中控屏显示模糊
一汽大众速腾邓禄普轮胎开裂存在质量问题
广汽传祺GS4行驶时刹车偏软 导航黑屏
别克君越发动机进排气电磁阀损坏
东风标致207大灯自动亮起右后轮异常磨损
东风悦达起亚K3发动机舱内生锈中控台异响
一汽大众奥迪Q5转向机进水要求厂家处理
上汽大众凌渡4S店维修车辆将挡风玻璃膜损坏
一汽马自达阿特兹B柱中控台与车顶异响
中华V5米其林轮胎裂纹越来越严重
上汽大众凌渡右侧玻璃异响变速箱故障报警
一汽马自达阿特兹ABC柱天窗和后备箱异响",车身附件及电器,车身异响,天窗异响,2020-07-25,处理反馈,服务流程不完善
500777,上汽通用别克,昂科拉,2014款 1.4T 自动 两驱都市精英型,"吉利缤越车门胶条发黄车机系统无法升级
一汽大众探岳车灯内部出现脏污希望处理
北京现代领动ABS和防滑报警希望处理
别克昂科威排气系统漏气导致故障灯亮
广汽丰田汉兰达发动机曲轴后油封漏油
一汽丰田RAV4荣放优科豪马轮胎发黄
上汽大众途观L转向助力失效转向沉重
江铃凯运腾豹刹车跑偏希望厂家尽快解决	
一汽大众奥迪Q5行驶时天窗和刹车异响
一汽马自达CX-4行驶过程中C柱有异响
一汽丰田亚洲龙低速行驶中控台异响
广汽传祺GS4低速行驶时变速箱顿挫
上汽大众朗逸4S店销售问题车发动机氧化
东风雪铁龙C4世嘉转向柱上下晃动影响安全
比亚迪唐新能源购车赠送的充电桩功能单一
广汽丰田凯美瑞中控台老化破损发粘
长安UNI-T制动系统故障灯亮要求厂家解决
上汽大众途观后轮内侧吃胎磨损严重
一汽马自达阿特兹AB柱及中控异响
吉利帝豪发动机故障灯亮升级后油表不准
东风标致408空调压缩机轴承故障导致异响
别克威朗变速箱故障顿挫 挂挡不走
长安CS55后挡风玻璃自然开裂 车顶生锈
广汽丰田汉兰达底盘有多处生锈的现象
斯威X7远程控制无法正常使用要求处理
一汽马自达阿特兹中控死机 B柱和中控异响
雷克萨斯ES 4S店喷漆质量差导致多次返工
别克昂科拉高速行驶刹车泵不回位方向盘抖动",发动机,油耗高,抖动,2020-07-25,处理反馈,车身附件及电器
